股票代码,股票名称,摸鱼得分,市值,PB,ROE
300580,贝斯特,,,,
300725,药石科技,,,,
600197,伊力特,,,,
600516,方大炭素,,,,
600933,爱柯迪,,,,
603036,如通股份,,,,
603898,好莱客,,,,
603968,醋化股份,,,,
603988,中电电机,,,,
603239,浙江仙通,,,,
603338,浙江鼎力,,,,
603367,辰欣药业,,,,
603609,禾丰牧业,,,,
603637,镇海股份,,,,
002888,惠威科技,,,,
300354,东华测试,,,,
300696,爱乐达,,,,
300543,朗科智能,,,,
300572,安车检测,,,,
300609,汇纳科技,,,,
300616,尚品宅配,,,,
300717,华信新材,,,,
300735,光弘科技,,,,
600529,山东药玻,,,,
601188,龙江交通,,,,
603599,广信股份,,,,
603298,杭叉集团,,,,
603306,华懋科技,,,,
603605,珀莱雅,,,,
603615,茶花股份,,,,
002243,通产丽星,,,,
000568,泸州老窖,,,,
002440,闰土股份,,,,
002304,洋河股份,,,,
002320,海峡股份,,,,
002572,索菲亚,,,,
002755,奥赛康,,,,
300193,佳士科技,,,,
600054,黄山旅游,,,,
300630,普利制药,,,,
600618,氯碱化工,,,,
600167,联美控股,,,,
600779,水井坊,,,,
600814,杭州解百,,,,
601965,中国汽研,,,,
603005,晶方科技,,,,
603136,天目湖,,,,
603232,格尔软件,,,,
603326,我乐家居,,,,
603488,展鹏科技,,,,
603516,淳中科技,,,,
603579,荣泰健康,,,,
000799,酒鬼酒,91,268.07 亿,10.51,12.87%
002275,桂林三金,,,,
002287,奇正藏药,,,,
002880,卫光生物,,,,
300107,建新股份,,,,
300685,艾德生物,,,,
300443,金雷股份,,,,
300638,广和通,,,,
300639,凯普生物,,,,
300709,精研科技,,,,
600570,恒生电子,,,,
603165,荣晟环保,,,,
600987,航民股份,,,,
603059,倍加洁,,,,
603096,新经典,,,,
603198,迎驾贡酒,,,,
603938,三孚股份,,,,
603365,水星家纺,,,,
603515,欧普照明,,,,
603517,绝味食品,,,,
603860,中公高科,,,,
002194,武汉凡谷,,,,
000848,承德露露,,,,
000858,五粮液,,,,
000915,山大华特,,,,
002007,华兰生物,,,,
002033,丽江股份,,,,
002150,通润装备,,,,
002222,福晶科技,,,,
002234,民和股份,,,,
000661,长春高新,,,,
002299,圣农发展,,,,
002327,富安娜,,,,
002372,伟星新材,,,,
002381,双箭股份,,,,
002820,桂发祥,,,,
002821,凯莱英,,,,
002832,比音勒芬,,,,
002507,涪陵榨菜,,,,
002508,老板电器,,,,
002568,百润股份,,,,
002706,良信电器,,,,
002724,海洋王,,,,
300206,理邦仪器,,,,
300223,北京君正,,,,
300327,中颖电子,,,,
002892,科力尔,,,,
002901,大博医疗,,,,
002908,德生科技,,,,
002912,中新赛克,,,,
300502,新易盛,,,,
300357,我武生物,,,,
300394,天孚通信,,,,
300445,康斯特,,,,
300452,山河药辅,,,,
300454,深信服,,,,
300468,四方精创,,,,
300482,万孚生物,,,,
300498,温氏股份,,,,
300519,新光药业,,,,
300595,欧普康视,,,,
300599,雄塑科技,,,,
300610,晨化股份,,,,
300624,万兴科技,,,,
300653,正海生物,,,,
300699,光威复材,,,,
300701,森霸传感,,,,
600305,恒顺醋业,,,,
300718,长盛轴承,,,,
300720,海川智能,,,,
600276,恒瑞医药,,,,
600519,贵州茅台,,,,
600585,海螺水泥,,,,
600897,厦门空港,,,,
603160,汇顶科技,,,,
603181,皇马科技,,,,
603585,苏利股份,,,,
603589,口子窖,,,,
603000,人民网,,,,
603040,新坐标,,,,
603041,美思德,,,,
603156,养元饮品,,,,
603203,快克股份,,,,
603226,菲林格尔,,,,
603258,电魂网络,,,,
603288,海天味业,,,,
603369,今世缘,,,,
603380,易德龙,,,,
603383,顶点软件,,,,
603387,基蛋生物,,,,
603416,信捷电气,,,,
603444,吉比特,,,,
603533,掌阅科技,,,,
603666,亿嘉和,,,,
603696,安记食品,,,,
603757,大元泵业,,,,
603801,志邦家居,,,,
603848,好太太,,,,
